Trade Date;Close
19/3/2021;11.16
22/3/2021;11.12
23/3/2021;11.1
24/3/2021;11.18
26/3/2021;11.34
29/3/2021;11.41
30/3/2021;11.52
31/3/2021;11.48
1/4/2021;11.62
2/4/2021;11.62
5/4/2021;11.62
6/4/2021;11.67
7/4/2021;11.76
8/4/2021;11.82
9/4/2021;11.92
12/4/2021;11.99
13/4/2021;11.98
14/4/2021;12
15/4/2021;12
16/4/2021;11.93
19/4/2021;11.71
20/4/2021;11.75
21/4/2021;11.75
22/4/2021;11.95
23/4/2021;12.05
26/4/2021;12.25
27/4/2021;12.12
28/4/2021;12.16
29/4/2021;12.2
5/5/2021;12.26
6/5/2021;12.23
7/5/2021;12.28
10/5/2021;12.36
11/5/2021;12.23
12/5/2021;12.26
13/5/2021;12.3
14/5/2021;12.38
17/5/2021;12.32
18/5/2021;12.34
19/5/2021;12.11
20/5/2021;12.15
21/5/2021;11.83
24/5/2021;12.01
25/5/2021;11.91
26/5/2021;11.97
27/5/2021;12.11
28/5/2021;12.21
31/5/2021;12.27
1/6/2021;12.25
2/6/2021;12.28
3/6/2021;12.24
4/6/2021;12.32
7/6/2021;12.36
8/6/2021;12.47
9/6/2021;12.44
10/6/2021;12.51
14/6/2021;12.55
15/6/2021;12.53
16/6/2021;12.42
17/6/2021;12.43
18/6/2021;12.34
22/6/2021;12.36
23/6/2021;12.4
24/6/2021;12.4
25/6/2021;12.46
28/6/2021;12.41
29/6/2021;12.32
30/6/2021;12.2
1/7/2021;12.26
2/7/2021;12.23
5/7/2021;12.13
6/7/2021;12.1
7/7/2021;12.09
9/7/2021;12.1
12/7/2021;12.08
13/7/2021;12.12
14/7/2021;12.12
15/7/2021;12.06
16/7/2021;12.07
19/7/2021;11.66
20/7/2021;11.73
21/7/2021;11.95
22/7/2021;11.98
23/7/2021;12.09
26/7/2021;12.16
27/7/2021;12.24
28/7/2021;12.24
29/7/2021;12.26
30/7/2021;12.33
2/8/2021;12.43
3/8/2021;12.39
4/8/2021;12.41
5/8/2021;12.47
6/8/2021;12.36
10/8/2021;12.44
11/8/2021;12.47
13/8/2021;12.44
16/8/2021;12.47
17/8/2021;12.47
19/8/2021;12.23
20/8/2021;12.27
23/8/2021;12.42
24/8/2021;12.55
25/8/2021;12.63
26/8/2021;12.66
27/8/2021;12.66
30/8/2021;12.8
31/8/2021;12.77
1/9/2021;12.73
2/9/2021;12.73
3/9/2021;12.75
6/9/2021;12.75
7/9/2021;12.71
8/9/2021;12.65
9/9/2021;12.59
10/9/2021;12.56
13/9/2021;12.65
14/9/2021;12.65
16/9/2021;12.69
17/9/2021;12.75
20/9/2021;12.46
21/9/2021;12.48
22/9/2021;12.53
23/9/2021;12.38
24/9/2021;12.27
27/9/2021;12.26
28/9/2021;12.1
29/9/2021;12.1
30/9/2021;12.1
1/10/2021;12.2
4/10/2021;12.19
5/10/2021;12.33
6/10/2021;12.28
7/10/2021;12.42
8/10/2021;12.43
11/10/2021;12.33
12/10/2021;12.34
13/10/2021;12.26
14/10/2021;12.33
15/10/2021;12.42
18/10/2021;12.42
19/10/2021;12.52
20/10/2021;12.65
21/10/2021;12.63
22/10/2021;12.68
25/10/2021;12.62
26/10/2021;12.68
27/10/2021;12.71
29/10/2021;12.65
1/11/2021;12.69
2/11/2021;12.68
3/11/2021;12.75
4/11/2021;12.78
5/11/2021;12.8
8/11/2021;12.98
9/11/2021;12.95
10/11/2021;13.04
11/11/2021;13.04
12/11/2021;13.01
15/11/2021;12.99
16/11/2021;13.01
17/11/2021;13.1
18/11/2021;13.13
19/11/2021;13.07
22/11/2021;12.97
23/11/2021;12.73
24/11/2021;12.72
25/11/2021;12.86
26/11/2021;12.34
29/11/2021;12.54
30/11/2021;12.5
1/12/2021;12.69
2/12/2021;12.69
3/12/2021;12.7
6/12/2021;12.63
7/12/2021;12.77
8/12/2021;12.77
9/12/2021;12.79
10/12/2021;12.77
13/12/2021;12.67
14/12/2021;12.6
15/12/2021;12.57
16/12/2021;12.7
17/12/2021;12.63
20/12/2021;12.53
21/12/2021;12.59
22/12/2021;12.6
23/12/2021;12.71
24/12/2021;12.71
28/12/2021;12.73
29/12/2021;12.76
30/12/2021;12.75
31/12/2021;12.79
1/1/2022;12.79
3/1/2022;12.85
4/1/2022;12.91
5/1/2022;12.92
7/1/2022;12.92
10/1/2022;13.04
11/1/2022;13.26
12/1/2022;13.52
13/1/2022;13.57
14/1/2022;13.49
17/1/2022;13.57
18/1/2022;13.39
19/1/2022;13.51
20/1/2022;13.56
21/1/2022;13.39
25/1/2022;13.07
26/1/2022;13.35
27/1/2022;13.39
28/1/2022;13.26
31/1/2022;13.42
1/2/2022;13.57
2/2/2022;13.63
3/2/2022;13.52
4/2/2022;13.55
7/2/2022;13.46
8/2/2022;13.51
9/2/2022;13.61
10/2/2022;13.69
11/2/2022;13.85
14/2/2022;13.71
15/2/2022;13.86
16/2/2022;13.97
17/2/2022;13.86
18/2/2022;13.87
21/2/2022;13.81
22/2/2022;13.72
24/2/2022;13.04
25/2/2022;13.51
28/2/2022;13.15
1/3/2022;12.92
2/3/2022;12.8
3/3/2022;12.89
4/3/2022;12.47
8/3/2022;12.1
9/3/2022;12.48
10/3/2022;12.24
11/3/2022;12.53
14/3/2022;12.55
15/3/2022;12.48
16/3/2022;12.98
17/3/2022;12.83
18/3/2022;12.83
21/3/2022;12.79
22/3/2022;12.9
23/3/2022;12.79
24/3/2022;12.68
28/3/2022;12.86
29/3/2022;13.16
30/3/2022;13.1
31/3/2022;13.1
1/4/2022;13.28
4/4/2022;13.36
5/4/2022;13.37
6/4/2022;13.28
7/4/2022;13.35
